row_id,predicted_model,true_model,primary_query
132,UNKNOWN,UNKNOWN,TURKCELL SET ST KUTU
133,PHILIPS PHILIPSSOUNDBAR,UNKNOWN,PHILIPS DVD-PLAYER
134,SONOS ARC,UNKNOWN,SKY SET-TOP BOX
135,UNKNOWN,LG SN7,LG SN7CY
136,LG S70TY,LG S70TY,LG NS70TY
137,UNKNOWN,UNKNOWN,
138,UNKNOWN,UNKNOWN,
139,UNKNOWN,UNKNOWN,KPN DECODER
140,UNKNOWN,UNKNOWN,
141,SONOS ARC,UNKNOWN,SKY Q
142,UNKNOWN,UNKNOWN,TV IN WOONKAME
143,UNKNOWN,UNKNOWN,TELENETTVBOX
144,LG S40T,UNKNOWN,ORANGE FIBRE OPTIQUE BO TIER D CODEUR /BOX INTERNET
145,UNKNOWN,UNKNOWN,E-3052
146,UNKNOWN,UNKNOWN,HD+
147,SONY SONYSOUNDBAR,UNKNOWN,UBP-X700/K
148,UNKNOWN,UNKNOWN,SKY X SET-TOP-BOX
149,LG S40TR,LG S40TR,LG S40TR
150,HISENSE AX3100G,HISENSE AX3100G,HISENSE AX3100G
151,UNKNOWN,UNKNOWN,
152,UNKNOWN,UNKNOWN,
153,UNKNOWN,UNKNOWN,HD+
154,UNKNOWN,UNKNOWN,XBOX
155,UNKNOWN,UNKNOWN,WI-FI PREMIUM+
156,UNKNOWN,UNKNOWN,HT-SBW202
157,UNKNOWN,UNKNOWN,XBOX ONE GAME CONSOLE
158,UNKNOWN,UNKNOWN,PS3
159,UNKNOWN,UNKNOWN,XIAOMI BOX
160,LG S95TR,LG S95TR,LG S95TR
161,BOSE SMARTSB,UNKNOWN,BD PLAYER
162,UNKNOWN,UNKNOWN,
163,LG S90TY,LG S90TY,LG S90TY
164,UNKNOWN,UNKNOWN,VODAFONE TV
165,UNKNOWN,UNKNOWN,SKY Q
166,UNKNOWN,UNKNOWN,BD SYSTEM
167,UNKNOWN,UNKNOWN,
168,UNKNOWN,UNKNOWN,TURKCELL SET ST KUTU
169,UNKNOWN,LG S60TR,LG NS60TR
170,JBL CINEMASB170,JBL CINEMASB170,CINEMA SB170
171,LG S77TY,LG S77TY,LG DS77TY
172,UNKNOWN,UNKNOWN,FIRE TV STICK
173,UNKNOWN,UNKNOWN,
174,UNKNOWN,UNKNOWN,
175,UNKNOWN,UNKNOWN,
176,UNKNOWN,UNKNOWN,PLAYSTATION 5
177,UNKNOWN,UNKNOWN,
178,UNKNOWN,UNKNOWN,
179,UNKNOWN,UNKNOWN,TV SMART 4K BO
180,UNKNOWN,UNKNOWN,
181,UNKNOWN,UNKNOWN,AMAZON FIRETV
182,UNKNOWN,JBL BAR5.1,JBL BAR 5.1
183,UNKNOWN,UNKNOWN,
184,LG S60TR,LG S60TR,LG DS60TR
185,UNKNOWN,SONOS ARCULTRA,ARC ULTRA
186,BOSE BOSESOUNDBAR,BOSE BOSESOUNDBAR,BOSE SOUND BAR
187,UNKNOWN,UNKNOWN,SKY Q
188,SONY HTCT790,SONY HTCT790,HT-CT790
189,UNKNOWN,UNKNOWN,CHROMECAST
190,UNKNOWN,UNKNOWN,
191,UNKNOWN,UNKNOWN,
192,UNKNOWN,UNKNOWN,MEO BOX
193,UNKNOWN,UNKNOWN,BEIN
194,SAMSUNG SAMSUNGSOUNDBAR,UNKNOWN,XBOX 360 HERN KONZOLE
195,UNKNOWN,UNKNOWN,AMAZON FIRETV
196,UNKNOWN,UNKNOWN,CANAL+ APP
197,UNKNOWN,UNKNOWN,MAGENTATV ONE
198,UNKNOWN,UNKNOWN,VIP1113
199,UNKNOWN,UNKNOWN,DIGITURK SET ST KUTU
200,UNKNOWN,UNKNOWN,ZAPI2022
201,LG SC9S,UNKNOWN,SKY Q
202,UNKNOWN,UNKNOWN,VODAFONE TV
203,UNKNOWN,UNKNOWN,
204,UNKNOWN,UNKNOWN,LG CHANNELS
205,UNKNOWN,UNKNOWN,4K ULTRABOX+
206,SONOS BEAM,SONOS BEAM,SONOS BEAM
207,UNKNOWN,UNKNOWN,
208,UNKNOWN,UNKNOWN,AMAZON FIRE T
209,UNKNOWN,UNKNOWN,APPLE TV
210,UNKNOWN,UNKNOWN,XBOX GAME CONSOLE
211,UNKNOWN,UNKNOWN,HD+
212,UNKNOWN,UNKNOWN,
213,UNKNOWN,UNKNOWN,
214,LG LGSOUNDBAR,LG LGSOUNDBAR,SOUNDBAR
215,UNKNOWN,UNKNOWN,HD+
216,UNKNOWN,UNKNOWN,NOW TV
217,UNKNOWN,UNKNOWN,FIRE TV STICK
218,LG SC9S,UNKNOWN,SKY
219,UNKNOWN,UNKNOWN,PLAYSTATION 5
220,LG SE6S,UNKNOWN,SKY Q
221,UNKNOWN,UNKNOWN,HD+
222,UNKNOWN,UNKNOWN,XBOX ONE GAME CONSOLE
223,UNKNOWN,UNKNOWN,FIRE TV STICK
224,UNKNOWN,UNKNOWN,TV DEL SAL N
225,LG S70TY,LG S70TY,LG S70TY
226,UNKNOWN,UNKNOWN,
227,UNKNOWN,UNKNOWN,
228,UNKNOWN,UNKNOWN,EVOBOX 4K
229,UNKNOWN,UNKNOWN,PLAYSTATION 5
230,UNKNOWN,UNKNOWN,BEIN BO TIER D CODEUR /BOX INTERNET
231,UNKNOWN,UNKNOWN,AMAZON FIRE T
232,UNKNOWN,UNKNOWN,BP MS46BT
233,UNKNOWN,UNKNOWN,PLAYSTATION 5
234,UNKNOWN,UNKNOWN,CDV DECODER
235,UNKNOWN,UNKNOWN,
236,DENON DENONSOUNDBAR,UNKNOWN,AV RECEIVER
237,UNKNOWN,UNKNOWN,MY TV OTT
238,UNKNOWN,UNKNOWN,AMAZON FIRE T
239,UNKNOWN,UNKNOWN,SKY Q
240,UNKNOWN,UNKNOWN,
241,UNKNOWN,UNKNOWN,
242,UNKNOWN,UNKNOWN,
243,UNKNOWN,UNKNOWN,
244,UNKNOWN,UNKNOWN,TUMBI 1D
245,UNKNOWN,UNKNOWN,
246,UNKNOWN,UNKNOWN,AMINO STB
247,UNKNOWN,UNKNOWN,HD+
248,UNKNOWN,UNKNOWN,MOVISTAR TV DECODIFICADOR
249,YAMAHA YAMAHASOUNDBAR,UNKNOWN,RX-A1040
250,PANASONIC PANASONICSOUNDBAR,UNKNOWN,BD PLAYER
251,UNKNOWN,UNKNOWN,FIRE TV STICK
252,UNKNOWN,UNKNOWN,T L VISEUR DE
253,UNKNOWN,UNKNOWN,MUSIC FRAME
254,UNKNOWN,UNKNOWN,MAGYAR TELEKOM BELT RI EGYS G
255,UNKNOWN,UNKNOWN,
256,UNKNOWN,UNKNOWN,FIRE TV STICK
257,UNKNOWN,UNKNOWN,SKY SET-TOP-BOX
258,UNKNOWN,UNKNOWN,
259,UNKNOWN,UNKNOWN,APPLE TV
260,UNKNOWN,UNKNOWN,NINTENDOSWITCH
261,BOSE BOSESOUNDBAR,UNKNOWN,BOSE BARRE DE SON
262,UNKNOWN,UNKNOWN,FIRE TV STICK
263,UNKNOWN,UNKNOWN,TV+ TURKCELL SET ST KUTU
264,UNKNOWN,UNKNOWN,AMAZON FIRETV
265,UNKNOWN,UNKNOWN,FERNSEHER IM W
266,UNKNOWN,UNKNOWN,LG CHANNELS
267,LG LGSOUNDBAR,ETC OTHERSOUNDBAR,TEUFEL SOUNDBAR
268,UNKNOWN,UNKNOWN,EE TV
269,UNKNOWN,UNKNOWN,EE TV
270,UNKNOWN,UNKNOWN,
271,YAMAHA ATS10,UNKNOWN,BD PLAYER
272,UNKNOWN,UNKNOWN,
273,UNKNOWN,SONOS ARCULTRA,ARC ULTRA
274,UNKNOWN,UNKNOWN,FIRE TV STICK
275,UNKNOWN,UNKNOWN,AVC-X6700H
276,UNKNOWN,UNKNOWN,AUDIOSYSTEM
277,UNKNOWN,UNKNOWN,
278,UNKNOWN,UNKNOWN,ALTIBOX DIGITALBOKS
279,JBL BAR800M2,UNKNOWN,FIRE TV STICK
280,UNKNOWN,UNKNOWN,VODAFONE TV
281,UNKNOWN,UNKNOWN,PORTUGAL TELECOM BOX
282,UNKNOWN,UNKNOWN,
283,UNKNOWN,UNKNOWN,HECO ASCADA 2.0
284,UNKNOWN,UNKNOWN,
285,UNKNOWN,UNKNOWN,
286,UNKNOWN,UNKNOWN,STREAM BOX
287,UNKNOWN,UNKNOWN,HD+
288,LG S70TY,LG S70TY,LG S70TY
289,UNKNOWN,UNKNOWN,HD+
290,UNKNOWN,UNKNOWN,
291,UNKNOWN,UNKNOWN,HD+
292,UNKNOWN,UNKNOWN,HD+
293,UNKNOWN,UNKNOWN,MAGENTATV ONE
294,UNKNOWN,UNKNOWN,PLAYSTATION 5
295,UNKNOWN,UNKNOWN,LG CHANNELS
296,LG SG10TY,UNKNOWN,SKY Q
297,UNKNOWN,UNKNOWN,
298,UNKNOWN,UNKNOWN,BBOXTV
299,UNKNOWN,UNKNOWN,
300,UNKNOWN,UNKNOWN,
301,UNKNOWN,UNKNOWN,AMAZON FIRETV
302,UNKNOWN,UNKNOWN,M HOLD BELT RI EGYS G
303,UNKNOWN,UNKNOWN,
304,UNKNOWN,UNKNOWN,MIDDLETON
305,UNKNOWN,UNKNOWN,
306,UNKNOWN,UNKNOWN,
307,SAMSUNG HWQ930D,SAMSUNG HWQ930D,HW-Q930D N
308,UNKNOWN,UNKNOWN,
309,UNKNOWN,UNKNOWN,MAGYAR TELEKOM BELT RI EGYS G
310,UNKNOWN,UNKNOWN,POSEIDON D60
311,UNKNOWN,UNKNOWN,
312,UNKNOWN,UNKNOWN,DIGI BELT RI EGYS G
313,UNKNOWN,UNKNOWN,VODAFONE TV
314,UNKNOWN,UNKNOWN,FIRE TV STICK
315,UNKNOWN,UNKNOWN,
316,UNKNOWN,UNKNOWN,SKY Q SET-TOP BOX
317,DENON DHTS517,UNKNOWN,XBOX KONSOLA DO GIER
318,LG S90TY,UNKNOWN,AMAZON FIRETV
319,UNKNOWN,UNKNOWN,
320,UNKNOWN,UNKNOWN,BKH 272
321,UNKNOWN,UNKNOWN,CANAL+ POLSKA DEKODER
322,UNKNOWN,UNKNOWN,
323,UNKNOWN,UNKNOWN,
324,UNKNOWN,UNKNOWN,ARC ULTRA
325,UNKNOWN,UNKNOWN,
326,UNKNOWN,UNKNOWN,SKY Q SET-TOP BOX
327,UNKNOWN,UNKNOWN,LG CHANNELS
328,UNKNOWN,UNKNOWN,KPN DECODER
329,UNKNOWN,UNKNOWN,EC6109V1
330,UNKNOWN,UNKNOWN,MAGYAR TELEKOM BELT RI EGYS G
331,UNKNOWN,UNKNOWN,
332,SAMSUNG HWQ990B,UNKNOWN,APPLE TV
333,SAMSUNG HWQ990D,UNKNOWN,XBOX GAME CONSOLE
334,UNKNOWN,UNKNOWN,
335,PHILIPS TAB6309,UNKNOWN,KPN DECODER
336,UNKNOWN,UNKNOWN,EVOBOX STREAM
337,LG S20A,UNKNOWN,SKY Q
338,UNKNOWN,UNKNOWN,PLAYSTATION 5
339,UNKNOWN,UNKNOWN,SAMSUNG WIRELESS AUDIO
340,UNKNOWN,UNKNOWN,HD+
341,UNKNOWN,UNKNOWN,
342,SONY HTZF9,UNKNOWN,SHIELD
343,UNKNOWN,UNKNOWN,BEIN SET-TOP BOX
344,UNKNOWN,UNKNOWN,FIRE TV STICK
345,UNKNOWN,UNKNOWN,PHILIPS MMS2220B
346,UNKNOWN,UNKNOWN,MARIE
347,UNKNOWN,UNKNOWN,FIRE TV STICK
348,UNKNOWN,UNKNOWN,
349,LG SC9S,LG SC9S,LG SC9S
350,UNKNOWN,UNKNOWN,AMAZON FIRETV
351,UNKNOWN,UNKNOWN,LG LAS355B
352,UNKNOWN,UNKNOWN,
353,UNKNOWN,UNKNOWN,LG CHANNELS
354,UNKNOWN,UNKNOWN,FREEBOX PLAYE
355,UNKNOWN,UNKNOWN,
356,UNKNOWN,UNKNOWN,DESCODIFICADOR
357,UNKNOWN,UNKNOWN,APPLE TV
358,LG LGSOUNDBAR,UNKNOWN,APPLE TV
359,UNKNOWN,UNKNOWN,DIGITURK SET ST KUTU
360,PHILIPS HTL3110,UNKNOWN,APPLE TV
361,UNKNOWN,UNKNOWN,
362,UNKNOWN,UNKNOWN,
363,UNKNOWN,UNKNOWN,FERNSEHER IM W
364,SAMSUNG SAMSUNGSOUNDBAR,UNKNOWN,EE TV
365,UNKNOWN,UNKNOWN,DEUTSCHE TELEKOM SET-TOP-BOX
366,UNKNOWN,UNKNOWN,AMAZON FIRE T
367,UNKNOWN,UNKNOWN,RAUMFELD
368,SONOS BEAM,UNKNOWN,CHROMECAST
369,LG S77TY,LG S77TY,LG DS77TY
370,UNKNOWN,UNKNOWN,VODAFONE TV DECODIFICADOR
371,UNKNOWN,SONOS ARCULTRA,ARC ULTRA
372,UNKNOWN,UNKNOWN,FREEBOX PLAYER
373,UNKNOWN,UNKNOWN,TV IN WOONKAME
374,UNKNOWN,UNKNOWN,FJERNSYN I SO
375,UNKNOWN,UNKNOWN,
376,UNKNOWN,UNKNOWN,XBOX GAME CONSOLE
377,UNKNOWN,UNKNOWN,TV HUB MINI
378,UNKNOWN,UNKNOWN,
379,UNKNOWN,UNKNOWN,
380,UNKNOWN,UNKNOWN,
381,UNKNOWN,UNKNOWN,
382,UNKNOWN,UNKNOWN,PLAYSTATION 4
383,UNKNOWN,UNKNOWN,RX-V6A
384,JBL BAR1000,JBL BAR1000,JBL BAR 1000
385,UNKNOWN,UNKNOWN,
386,LG SJ3,LG SJ3,LG SJ3
387,UNKNOWN,UNKNOWN,TELEWIZOR W SA
388,LG SNH5,UNKNOWN,DIGITURK SET ST KUTU
389,UNKNOWN,UNKNOWN,SY-BT1632
390,UNKNOWN,UNKNOWN,
391,UNKNOWN,UNKNOWN,
392,UNKNOWN,UNKNOWN,FIRE TV STICK
393,UNKNOWN,UNKNOWN,AMAZON FIRETV
394,UNKNOWN,UNKNOWN,
395,PANASONIC PANASONICSOUNDBAR,UNKNOWN,HIWAY
396,UNKNOWN,UNKNOWN,PS5 GAME CONSOLE
397,UNKNOWN,UNKNOWN,MAGYAR TELEKOM BELT RI EGYS G
398,JBL BAR9.1,UNKNOWN,SHIELD
399,UNKNOWN,UNKNOWN,AVR-X2700H
400,UNKNOWN,UNKNOWN,ULT WEAR
401,UNKNOWN,UNKNOWN,FRESH REBEL 3AHP201
402,UNKNOWN,UNKNOWN,FIRE TV STICK
403,UNKNOWN,UNKNOWN,BOX TV
404,UNKNOWN,UNKNOWN,BOSE QC ULTRA HEADPHONES
405,UNKNOWN,UNKNOWN,
406,UNKNOWN,UNKNOWN,
407,UNKNOWN,UNKNOWN,BOSE QC HEADPHONES
408,UNKNOWN,UNKNOWN,AMAZON FIRE T
409,UNKNOWN,UNKNOWN,MEDIABOX 2
410,UNKNOWN,UNKNOWN,
411,UNKNOWN,UNKNOWN,SKY Q
412,UNKNOWN,UNKNOWN,HT-SF200/201
413,LG SC9S,LG SC9S,LG USC9S
414,UNKNOWN,UNKNOWN,PLAYSTATION 5
415,LG S80TR,LG S80TR,LG DS80TR
416,UNKNOWN,UNKNOWN,B O THEATRE
417,UNKNOWN,UNKNOWN,CHROMECAST HD
418,UNKNOWN,UNKNOWN,
419,UNKNOWN,UNKNOWN,
420,LG S80TR,LG S80TY,LG S80TY
421,UNKNOWN,UNKNOWN,
422,UNKNOWN,UNKNOWN,
423,UNKNOWN,UNKNOWN,SOUNDCORE AEROFIT 2
424,UNKNOWN,UNKNOWN,
425,UNKNOWN,UNKNOWN,622539
426,UNKNOWN,UNKNOWN,
427,UNKNOWN,UNKNOWN,DEKODER 4K MUL
428,UNKNOWN,UNKNOWN,APPLE TV
429,BOSE SOUNDBAR900,BOSE SOUNDBAR900,SOUNDBAR 900
430,UNKNOWN,UNKNOWN,OTETV SET-TOP BOX
431,UNKNOWN,UNKNOWN,FIRE TV STICK
432,UNKNOWN,UNKNOWN,
433,UNKNOWN,UNKNOWN,
434,UNKNOWN,SONOS ARC,SONOS ARC
435,UNKNOWN,UNKNOWN,
436,DENON DENONSOUNDBAR,UNKNOWN,BD PLAYER
437,UNKNOWN,UNKNOWN,APPLE TV
438,UNKNOWN,UNKNOWN,HD+
439,UNKNOWN,UNKNOWN,LG CHANNELS
440,UNKNOWN,UNKNOWN,BEOSOUND LEVEL-37354608
441,LG SQC1,LG SQC1,LG SQC1
442,UNKNOWN,UNKNOWN,
443,UNKNOWN,UNKNOWN,PS5 CONSOLA DE JUEGOS
444,UNKNOWN,UNKNOWN,SFR BO TIER D CODEUR /BOX INTERNET
445,UNKNOWN,UNKNOWN,VODAFONE KABEL DEUTSCHLAND DEKODER
446,UNKNOWN,UNKNOWN,
447,UNKNOWN,UNKNOWN,SKY Q
448,UNKNOWN,UNKNOWN,SKY
449,UNKNOWN,UNKNOWN,AMAZON FIRETV
450,UNKNOWN,UNKNOWN,
451,UNKNOWN,UNKNOWN,PO TA
452,LG SC9S,LG SC9S,LG USC9S
453,UNKNOWN,UNKNOWN,AIRPODS PRO
454,UNKNOWN,UNKNOWN,CRYSTAL AUDIO CASB240HD
455,LG S40TR,LG S40TR,LG S40TR
456,UNKNOWN,UNKNOWN,MY-HD
457,UNKNOWN,UNKNOWN,VIP1113
458,UNKNOWN,UNKNOWN,BOSE SOUNDLIN
459,LG SG10TY,LG SG10TY,LG DSG10TY
460,LG S95TR,UNKNOWN,AMAZON FIRETV
461,LG S77TY,UNKNOWN,FREEBOX PLAYE
462,UNKNOWN,UNKNOWN,APPLE TV
463,LG S90TY,LG S90TY,LG DS90TY
464,UNKNOWN,UNKNOWN,AMAZON FIRETV
465,UNKNOWN,UNKNOWN,
466,UNKNOWN,UNKNOWN,MAGENTATV ONE
467,UNKNOWN,UNKNOWN,YQ-88C
468,UNKNOWN,UNKNOWN,
469,UNKNOWN,UNKNOWN,
470,UNKNOWN,UNKNOWN,PS4 SPIELKONSOLE
471,UNKNOWN,UNKNOWN,
472,UNKNOWN,UNKNOWN,
473,UNKNOWN,UNKNOWN,
474,UNKNOWN,UNKNOWN,APPLE TV
475,UNKNOWN,UNKNOWN,WAIPU TV STICK
476,UNKNOWN,UNKNOWN,
477,UNKNOWN,UNKNOWN,DIGITURK SET ST KUTU
478,UNKNOWN,UNKNOWN,PLAYSTATION 5
479,UNKNOWN,UNKNOWN,
480,UNKNOWN,UNKNOWN,HD+
481,LG S40TR,UNKNOWN,SF8008
482,UNKNOWN,UNKNOWN,KPN DECODER
483,UNKNOWN,UNKNOWN,
484,UNKNOWN,UNKNOWN,
485,UNKNOWN,UNKNOWN,
486,UNKNOWN,UNKNOWN,MUSE M-282 CTV
487,UNKNOWN,UNKNOWN,SKY Q
488,UNKNOWN,UNKNOWN,SKY Q
489,UNKNOWN,UNKNOWN,MEDIABOX 1
490,SAMSUNG HWQ800H,UNKNOWN,AVR-X2800H
491,UNKNOWN,UNKNOWN,PLAYSTATION 5
492,UNKNOWN,UNKNOWN,SKYLINK CZ
493,UNKNOWN,UNKNOWN,
494,UNKNOWN,UNKNOWN,XIAOMI TV KUTU
495,UNKNOWN,UNKNOWN,
496,UNKNOWN,UNKNOWN,DAGLIGSTUE
497,UNKNOWN,UNKNOWN,4K ULTRABOX+
498,UNKNOWN,UNKNOWN,ECHO DOT-FTC
499,UNKNOWN,UNKNOWN,FRESH REBEL 3AHP211
500,UNKNOWN,UNKNOWN,
501,UNKNOWN,UNKNOWN,CANAL PLUS BO
502,UNKNOWN,UNKNOWN,
503,LG S40T,LG S40T,LG US40T
504,SONOS AMP,UNKNOWN,AMINO STB
505,UNKNOWN,UNKNOWN,HD+
506,LG S60T,LG S60T,LG S60T
507,UNKNOWN,UNKNOWN,VODAFONE TV
508,UNKNOWN,UNKNOWN,PLAYSTATION 5
509,UNKNOWN,UNKNOWN,
510,UNKNOWN,UNKNOWN,HD+
511,UNKNOWN,UNKNOWN,
512,UNKNOWN,UNKNOWN,TELENOR DEKODER
513,UNKNOWN,UNKNOWN,
514,UNKNOWN,UNKNOWN,UMA
515,UNKNOWN,UNKNOWN,AIRPODS PRO - FI
516,UNKNOWN,UNKNOWN,MOVISTAR+
517,UNKNOWN,UNKNOWN,MOVISTAR TV DECODIFICADOR
518,UNKNOWN,UNKNOWN,
519,UNKNOWN,UNKNOWN,VIRGIN TV 1
520,UNKNOWN,UNKNOWN,
521,UNKNOWN,UNKNOWN,LG CHANNELS
522,UNKNOWN,UNKNOWN,HONOR CHOICE EARBUDS S7
523,UNKNOWN,UNKNOWN,APPLE TV
524,UNKNOWN,UNKNOWN,CHROMECAST
525,UNKNOWN,UNKNOWN,VIRGIN TV
526,UNKNOWN,UNKNOWN,LG OM4560
527,UNKNOWN,UNKNOWN,LG CHANNELS
528,PANASONIC SCHTB100,PANASONIC SCHTB100,SC-HTB100
529,UNKNOWN,UNKNOWN,AMAZON FIRETV
530,UNKNOWN,UNKNOWN,FIRE TV STICK
531,LG S40TR,LG S40TR,LG US40TR
532,UNKNOWN,UNKNOWN,LG CHANNELS
533,UNKNOWN,UNKNOWN,
534,UNKNOWN,UNKNOWN,SHIELD
535,UNKNOWN,UNKNOWN,
536,UNKNOWN,UNKNOWN,AIRPODS PRO - FIND M
